Column_name,Type,Length
health_living,bit,1
HighTechLeader,varchar,1
hobby_bird_watching,bit,1
hobby_board_games,bit,1
hobby_computer_games,bit,1
hobby_cigar_smoking,bit,1
hobby_cooking,bit,1
hobby_cooking_gourmet,bit,1
hobby_crafts,bit,1
hobby_home_study_courses,bit,1
hobby_knitting_or_needlework,bit,1
hobby_photography,bit,1
hobby_quilting,bit,1
hobby_self_improvement_courses,bit,1
hobby_sewing,bit,1
hobby_video_games,bit,1
hobby_wine_appreciation,bit,1
hobby_woodworking,bit,1
Hobbyists,bit,1
hockey,bit,1
home_decor,bit,1
HomeHeatIndicator,varchar,1
hunting,bit,1
income,varchar,1
internet_buyer,bit,1
Investment_type,varchar,1
investments,bit,1
investments_own_mutual_funds_cds,bit,1
investments_own_stocks_or_bonds,bit,1
language,varchar,1
luxury_life,bit,1
magazine,bit,1
mail_buyer,bit,1
mail_donor,bit,1
mail_responder,bit,1
MaleMerchBuyer,varchar,1
marital_status,varchar,1
median_home_value,smallint,
median_income,tinyint,
membership_warehouse,bit,1
mo_books,bit,1
mo_books_or_mag,bit,1
mo_children_s_products,bit,1
mo_clothing,bit,1
mo_cosmetics,bit,1
mo_dvd,bit,1
mo_gifts,bit,1
mo_home_furnishing,bit,1
mo_jewelry,bit,1
mo_plus_size_clothing,bit,1
movie,bit,1
music,bit,1
musical_instruments,bit,1
music_player,bit,1
nascar,bit,1
net_worth,varchar,1
new_credit_range,tinyint,1
num_credit_lines,tinyint,1
occupation,tinyint,1
occupation_code,varchar,4
online_education,bit,1
opportunity_seeker,bit,1
own_swimming_pool,bit,1
owns_satellite_tv,bit,1
pets,bit,1
pets_own_at_least_one_cat,bit,1
pets_own_at_least_one_dog,bit,1
presence_of_elderly_parent,bit,1
PresenceofGoldOrPlatinumCreditCard,varchar,1
presence_premium_card,bit,1
race,varchar,2
reading_news_finance,bit,1
reading_astrology,bit,1
reading_best_selling_fiction,bit,1
reading_bible_or_devotional,bit,1
reading_books_on_tape,bit,1
reading_computer,bit,1
reading_cooking_or_culinary,bit,1
reading_country_lifestyle,bit,1
reading_fashion,bit,1
reading_history,bit,1
reading_interior_decorating,bit,1
reading_medical_or_health,bit,1
reading_military,bit,1
reading_mystery,bit,1
reading_natural_health_remedies,bit,1
reading_people_or_entertainment,bit,1
reading_romance,bit,1
reading_science_fiction,bit,1
reading_science_or_technology,bit,1
reading_sports,bit,1
reading_world_news_or_politics,bit,1
religious_inspirational,bit,1
residental_properties_owned,smallint,
RespondedtoCatalog,char,1
retail_card,bit,1
running,bit,1
science_space,bit,1
scuba_diving,bit,1
self_improvement,bit,1
snow_skiing,bit,1
soho_business,bit,1
sporting_life,bit,1
sports,bit,1
sports_betting,bit,1
sweepstakes_contest,bit,1
tennis,bit,1
travel,bit,1
travel_business,bit,1
travel_card,bit,1
travel_cruises,bit,1
travel_international,bit,1
travel_personal,bit,1
travel_vacation,bit,1
truck_owner,bit,1
tv_sports,bit,1
ValueHunter,varchar,1
veteran_in_household,bit,1
voter_indicator,bit,1
walking,bit,1
WealthRating,tinyint,
weight_lifting,bit,1
working_woman,bit,1
young_adult_in_household,bit,1
Soccer,bit,1
FIPS,varchar,5
PropertyClassID,varchar,3
LandUseCode,varchar,10
MobileHomeInd,varchar,1
LotSizeFrontageFeet,varchar,12
LotSizeDepthFeet,varchar,12
LotSizeAcres,varchar,10
LotSizeSqFt,int,11
AssdTotalValue,int,11
BuildingAreaInd,varchar,1
SumBuildingSqFt,numeric,9
SumLivingAreaSqFt,int,7
SumGroundFloorSqFt,int,7
SumGrossAreaSqFt,int,7
SumAdjAreaSqFt,int,7
SumBasementSqFt,int,7
BasementUnfinishedSqFt,int,7
BasementFinishedSqFt,int,7
SumGarageSqFt,int,7
YearBuilt,varchar,4
EffectiveYearBuilt,varchar,4
Bedrooms,numeric,5
TotalRooms,numeric,5
BathTotalCalc,"numeric (5,2)",5
BasementCode,int,3
BuildingConditionCode,int,3
ExteriorWallsCode,int,3
FireplaceCode,int,3
FloorCoverCode,int,3
Garage,int,3
HeatCode,int,3
HeatingFuelTypeCode,int,3
GarageParkingNbr,int,3
PoolCode,int,3
RoofCoverCode,int,3
RoofTypeCode,int,3
SewerCode,int,3
StoriesNbrCode,int,5
StyleCode,int,3
SumResidentialUnits,numeric,5
WaterCode,int,3
SubdivisionName,varchar,40
SubdivisionTractNbr,varchar,10
CurrentSaleDocNbr,varchar,20
CurrentSaleRecordingDate,varchar,8
CurrentSaleContractDate,varchar,8
CurrentSaleDocumentType,varchar,2
CurrentSalesPrice,int,15
DatafuseCode,varchar,2
MD_ParsedAddressRange,varchar,20
MD_ParsedPreDirection,varchar,32
MD_ParsedStreetName,varchar,64
MD_ParsedSuffix,varchar,24
MD_ParsedPostDirection,varchar,32
MD_ParsedSuiteName,varchar,64
MD_ParsedSuiteRange,varchar,45
Address Type,bit,1
address_2,varchar,40
census_block,char,4
census_tract,char,4
county_code,char,3
county_name,varchar,40
DeedDateofRefinance,varchar,10
delivery_point,char,3
dpv_status,varchar,1
email_flag,bit,1
MortgageAmountinThousands,smallint,2
MortgageAmountinThousandsCode,tinyint,1
Mortgageloantype,varchar,1
num_in_household,tinyint,1
num_of_adults,tinyint,1
num_of_children,tinyint,1
Number_Of_Bathrooms,int,4
Number_Of_Bedrooms,tinyint,1
political,varchar,1
purchase_2nd_mortgage_amount,int,4
purchase_2nd_mortgage_loan_type,char,1
purchase_lender_code,char,3
purchase_mortgage_date,varchar,8
recent_2nd_lender_code,char,3
recent_2nd_Lender_name,varchar,60
recent_2nd_mortgage_amount,int,4
recent_2nd_mortgage_date,varchar,8
recent_2nd_mortgage_interest_rate,varchar,6
recent_2nd_mortgage_interest_rate_type,varchar,1
recent_2nd_mortgage_loan_type,char,1
recent_lender_code,char,3
recent_mortgage_interest_rate,char,6
RefinanceAmountinThousands,smallint,2
RefinanceAmountinThousandsCode,tinyint,1
RefinanceLoanType,char,1
RefinanceRateType,char,1
religion,varchar,1
FirstMtgTerm,varchar,4
FirstMtgTermCode,varchar,1
FirstMtgInterestRateType,varchar,3
FirstMtgDueDate,varchar,8
OwnerOccupied,varchar,1
TaxAmt,bigint,9
TaxYear,varchar,4
